Architecture,Dropout,HasResidual,ProtectionLevel,Environment,BaselineAccuracy,RadiationAccuracy,AccuracyPreservation,ExecutionTime,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,BaselineAccuracyStdDev,RadiationAccuracyStdDev,AccuracyPreservationStdDev,MonteCarloTrials
2-32-32-128-2,0.4,Yes,None,1,86.38,77.85,90.12,136.02,1,0,1,0.48,1.14,0.82,3
2-32-64-2,0.60,Yes,SpaceOptimized,1,83.73,82.63,98.69,228.86,6,5,1,0.37,0.47,0.32,3
2-32-128-128-2,0.40,Yes,FullTMR,1,85.95,83.89,97.60,448.28,7,5,2,0.54,1.04,0.63,3
2-32-128-128-2,0.60,Yes,FullTMR,1,83.33,82.01,98.42,448.28,7,5,2,0.09,0.47,0.61,3
2-64-32-2,0.60,No,None,1,81.43,73.17,89.86,127.14,1,0,1,0.88,0.77,0.49,3
2-64-32-128-2,0.40,Yes,FullTMR,1,85.59,83.54,97.61,413.52,6,4,2,0.71,0.75,0.32,3
2-64-32-128-2,0.50,No,FullTMR,1,83.26,81.56,97.96,413.52,6,4,2,0.26,0.73,0.70,3
2-64-32-128-2,0.60,No,FullTMR,1,82.31,81.22,98.68,413.52,6,4,2,0.53,0.55,0.21,3
2-64-64-128-2,0.40,No,FullTMR,1,84.33,82.80,98.19,433.41,7,5,2,0.83,1.40,0.76,3
2-64-64-128-2,0.40,Yes,None,1,86.22,77.66,90.07,144.47,1,0,1,0.25,0.24,0.43,3
2-64-64-128-2,0.60,No,FullTMR,1,81.80,80.14,97.97,433.41,7,5,2,0.48,1.20,0.91,3
2-64-256-2,0.60,No,None,1,82.73,73.69,89.08,147.42,1,0,1,0.21,0.18,0.16,3
2-128-2,0.40,No,SelectiveTMR,1,83.54,80.27,96.09,168.57,4,2,2,0.47,0.64,0.31,3
2-128-2,0.50,No,SelectiveTMR,1,82.69,79.25,95.84,168.57,4,2,2,0.28,0.53,0.44,3
2-128-2,0.60,No,FullTMR,1,81.54,79.66,97.69,337.15,5,4,1,0.62,0.75,0.19,3
2-128-128-32-2,0.60,Yes,FullTMR,1,84.14,82.12,97.59,448.28,7,5,2,0.37,0.51,0.22,3
2-128-128-64-2,0.60,No,FullTMR,1,82.41,80.86,98.11,453.75,8,6,2,0.70,1.30,0.75,3
2-128-128-64-2,0.60,Yes,FullTMR,1,83.27,81.71,98.12,453.75,8,6,2,0.04,0.29,0.30,3
2-256-32-64-2,0.30,Yes,AdaptiveTMR,1,86.44,85.12,98.47,314.48,7,5,2,0.44,0.57,0.22,3
2-256-32-128-2,0.30,Yes,AdaptiveTMR,1,86.88,85.62,98.55,318.49,7,5,2,0.68,0.57,0.12,3
2-256-32-128-2,0.40,No,AdaptiveTMR,1,84.28,82.82,98.27,318.49,7,5,2,0.75,1.33,0.98,3
2-256-32-128-2,0.50,No,None,1,83.12,74.66,89.81,144.77,1,0,1,0.40,0.65,0.43,3
2-256-32-128-2,0.50,No,FullTMR,1,82.64,81.44,98.54,434.31,7,5,2,0.31,0.93,0.76,3
2-256-32-128-2,0.50,Yes,AdaptiveTMR,1,84.72,83.84,98.96,318.49,7,5,2,0.43,0.90,0.56,3
2-256-32-128-2,0.60,No,ChecksumOnly,1,81.52,75.23,92.28,159.25,3,0,3,0.22,0.68,0.62,3
2-256-32-128-2,0.60,Yes,FullTMR,1,84.06,82.80,98.51,434.31,7,5,2,0.40,0.40,0.34,3
2-256-32-256-2,0.60,Yes,SelectiveTMR,1,84.43,81.81,96.90,221.47,6,3,3,0.40,0.26,0.22,3
2-256-64-128-2,0.40,No,FullTMR,1,84.34,82.50,97.83,454.21,8,6,2,0.76,0.85,0.73,3
2-256-64-128-2,0.40,Yes,AdaptiveTMR,1,86.53,84.91,98.14,333.09,8,6,2,0.82,0.49,0.57,3
2-256-256-32-2,0.50,No,SelectiveTMR,1,83.42,79.38,95.16,243.24,7,4,3,0.59,0.77,0.43,3
2-256-256-128-2,0.40,No,FullTMR,1,83.81,81.95,97.78,495.11,9,7,2,0.12,0.29,0.44,3
2-256-256-128-2,0.50,No,AdaptiveTMR,1,83.83,82.50,98.41,363.08,9,7,2,0.42,0.52,0.32,3
2-256-256-128-2,0.50,Yes,AdaptiveTMR,1,85.24,84.13,98.69,363.08,9,7,2,0.24,0.26,0.32,3
2-256-256-128-2,0.60,Yes,SelectiveTMR,1,84.57,80.88,95.63,247.55,7,4,3,0.59,1.04,0.62,3
