Architecture,Dropout,HasResidual,ProtectionLevel,Environment,BaselineAccuracy,RadiationAccuracy,AccuracyPreservation,ExecutionTime,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,BaselineAccuracyStdDev,RadiationAccuracyStdDev,AccuracyPreservationStdDev,MonteCarloTrials
8-64-32-1,0.6,No,None,1,81.58,74.17,90.92,128.60,1,0,1,0.06,0.24,0.23,2
8-64-32-64-1,0.60,Yes,ChecksumOnly,1,83.63,76.89,91.95,147.94,2,0,2,0.51,0.43,1.07,2
8-128-1,0.40,No,SelectiveTMR,1,83.60,79.97,95.66,180.74,4,2,2,0.47,1.04,0.71,2
8-128-1,0.40,Yes,SelectiveTMR,1,84.40,81.22,96.24,180.74,4,2,2,0.12,0.31,0.50,2
8-128-1,0.70,No,FullTMR,1,80.53,78.92,98.00,361.48,5,4,1,0.04,0.39,0.44,2
8-128-256-32-1,0.40,No,SelectiveTMR,1,84.34,80.53,95.49,234.69,6,3,3,0.89,0.87,0.02,2
8-128-256-32-1,0.60,Yes,FullTMR,1,83.62,82.28,98.40,469.37,8,6,2,0.26,0.63,0.44,2
8-256-32-1,0.60,No,None,1,82.13,73.57,89.58,142.37,1,0,1,0.41,0.10,0.56,2
8-256-32-128-1,0.50,Yes,None,1,85.12,77.04,90.51,145.79,1,0,1,0.44,0.78,0.45,2
8-256-256-1,0.40,No,FullTMR,1,84.69,83.08,98.11,483.75,9,7,2,0.14,0.22,0.41,2
8-256-256-1,0.60,No,ChecksumOnly,1,82.43,75.79,91.94,177.37,3,0,3,0.34,0.84,0.63,2
8-256-256-1,0.60,No,FullTMR,1,82.31,81.50,99.01,483.75,9,7,2,0.80,0.68,0.14,2
8-256-256-1,0.70,No,FullTMR,1,81.48,80.21,98.44,483.75,9,7,2,0.76,0.36,0.47,2
8-256-256-1,0.70,Yes,FullTMR,1,82.93,81.30,98.03,483.75,9,7,2,0.02,0.75,0.92,2
