Mission,Protection,FineTuning,ErrorModel,ErrorRate,Accuracy,BaselineAccuracy,AccuracyPreservation,TotalBits,FlippedBits,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,CorrectionEffectiveness,MemoryOverhead,ExecutionTime
LEO Equatorial,None,None,SingleBit,1e-06,0,35,0,20100000,158,0,0,0,1,0,6.8546
LEO Equatorial,None,Basic,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,0,5.51722
LEO Equatorial,None,Standard,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,0,5.29444
LEO Equatorial,None,Advanced,SingleBit,1e-06,0,35,0,20100000,19,0,0,0,1,0,6.25063
LEO Equatorial,Minimal,None,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,10,5.31558
LEO Equatorial,Minimal,Basic,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,10,5.39088
LEO Equatorial,Minimal,Standard,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,10,5.56597
LEO Equatorial,Minimal,Advanced,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,10,5.6261
LEO Equatorial,Moderate,None,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,50,5.98728
LEO Equatorial,Moderate,Basic,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,50,5.46265
LEO Equatorial,Moderate,Standard,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,50,5.34373
LEO Equatorial,Moderate,Advanced,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,50,5.29829
LEO Equatorial,High,None,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,100,5.43108
LEO Equatorial,High,Basic,SingleBit,1e-06,0,35,0,20100000,112,112,0,112,0,100,5.56863
LEO Equatorial,High,Standard,SingleBit,1e-06,0,35,0,20100000,179,179,179,0,1,100,5.22968
LEO Equatorial,High,Advanced,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,100,5.67198
LEO Equatorial,Very High,None,SingleBit,1e-06,0,35,0,20100000,61,61,61,0,1,200,5.53852
LEO Equatorial,Very High,Basic,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,200,5.64467
LEO Equatorial,Very High,Standard,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,200,5.40999
LEO Equatorial,Very High,Advanced,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,200,5.69604
LEO Equatorial,Adaptive,None,SingleBit,1e-06,0,35,0,20100000,93,93,93,0,1,75,5.82093
LEO Equatorial,Adaptive,Basic,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,75,5.70693
LEO Equatorial,Adaptive,Standard,SingleBit,1e-06,0,35,0,20100000,141,141,141,0,1,75,5.39128
LEO Equatorial,Adaptive,Advanced,SingleBit,1e-06,0,35,0,20100000,291,291,176,115,0.604811,75,5.28588
LEO Polar,None,None,SingleBit,2.5e-06,0,35,0,20100000,0,0,0,0,1,0,5.47507
LEO Polar,None,Basic,SingleBit,2.5e-06,0,35,0,20100000,134,0,0,0,1,0,5.44928
LEO Polar,None,Standard,SingleBit,2.5e-06,0,35,0,20100000,7,0,0,0,1,0,5.48861
LEO Polar,None,Advanced,SingleBit,2.5e-06,0,35,0,20100000,0,0,0,0,1,0,5.57396
LEO Polar,Minimal,None,SingleBit,2.5e-06,0,35,0,20100000,20,20,20,0,1,10,5.37258
LEO Polar,Minimal,Basic,SingleBit,2.5e-06,0,35,0,20100000,0,0,0,0,1,10,5.30004
LEO Polar,Minimal,Standard,SingleBit,2.5e-06,0,35,0,20100000,0,0,0,0,1,10,5.25621
LEO Polar,Minimal,Advanced,SingleBit,2.5e-06,0,35,0,20100000,0,0,0,0,1,10,6.22972
LEO Polar,Moderate,None,SingleBit,2.5e-06,0,35,0,20100000,0,0,0,0,1,50,5.35471
LEO Polar,Moderate,Basic,SingleBit,2.5e-06,0,35,0,20100000,134,134,134,0,1,50,5.54047
LEO Polar,Moderate,Standard,SingleBit,2.5e-06,0,35,0,20100000,0,0,0,0,1,50,5.64407
LEO Polar,Moderate,Advanced,SingleBit,2.5e-06,0,35,0,20100000,162,162,162,0,1,50,6.22427
