input_dim,latent_dim,beta,learning_rate,epochs,batch_size,compression_ratio_mean,compression_ratio_std,reconstruction_error_mean,reconstruction_error_std,kl_divergence_mean,kl_divergence_std,total_loss_mean,total_loss_std,training_time_mean,training_time_std,inference_time_mean,inference_time_std,convergence_rate,monte_carlo_trials,compression_score,anomaly_score,balanced_score
12,2,1,0.0001,20,32,6,0,1.71391,0.0376754,0.446744,0.153025,1.94717,0.150851,397.6,10.3267,1.2,0.4,0,5,0,0,0
12,2,1.5,0.001,100,32,6,0,1.72161,0.0160443,0.308716,0.159635,1.93463,0.218041,4854.6,889.972,4.6,0.489898,0,5,0,0,0
12,2,0.1,0.0001,100,32,6,0,1.71028,0.00185825,0.0262844,0.0107259,1.47512,0.0119484,401143,10383.3,526.6,82.449,0,5,0,0,0
12,4,0.5,0.0001,50,32,3,0,1.73666,0.034115,1.47476,0.808584,2.30542,0.358207,681.8,7.24983,1,0,0,5,0,0,0
12,4,2,0.01,50,32,3,0,1.76282,0.0587919,0.877154,0.352586,3.24594,0.637706,1866.8,262.667,2.8,0.979796,0,5,0,0,0
12,4,2,0.01,100,32,3,0,1.7054,0.040709,0.912739,0.258044,3.31642,0.505508,2519.4,466.349,2.4,0.8,0,5,0,0,0
12,4,1,0.0001,100,32,3,0,1.69843,0.0250443,0.224033,0.124557,1.71357,0.123309,19443.6,1487,25.8,7.67854,0,5,0,0,0
12,8,0.1,0.001,50,32,1.5,0,1.73499,0.0367706,1.60761,0.529851,1.70172,0.0849875,1696,165.876,2.4,0.489898,0,5,0,0,0
12,8,0.1,0.01,50,32,1.5,0,1.72203,0.04861,0.485447,0.0639114,1.55636,0.0319423,9417,2116.21,20.6,3.38231,0,5,0,0,0
12,8,3,0.0001,100,32,1.5,0,1.74426,0.0239295,0.533164,0.113122,3.15975,0.380376,18602,1725.66,21.2,3.70945,0,5,0,0,0
12,8,0.5,0.001,20,32,1.5,0,1.73187,0.0374563,0.302082,0.053504,1.64989,0.0269187,15234,1409.72,146.4,110.989,0,5,0,0,0
12,12,1,0.0001,20,32,1,0,1.82935,0.0185952,2.55864,0.636181,4.17502,0.678251,423.2,5.81034,1.2,0.4,0,5,0,0,0
12,12,3,0.01,20,32,1,0,1.75504,0.0387999,1.99512,0.440796,7.61976,1.33199,791.6,36.8326,3,0,0,5,0,0,0
12,12,0.5,0.001,100,32,1,0,1.73052,0.0487308,1.17384,0.12467,2.10042,0.0715251,7890.6,1077.81,7,1.26491,0,5,0,0,0
12,16,0.1,0.01,100,32,0.75,0,1.71205,0.0219712,0.329728,0.156164,inf,nan,24981.2,3188.93,27.4,4.8,0,5,0,0,0
12,24,3,0.0001,20,32,0.5,0,1.75344,0.0880493,3.45945,0.545461,nan,nan,642.8,7.11056,2.2,0.4,0,5,0,0,0
12,24,3,0.01,100,32,0.5,0,1.80271,0.05471,2.08599,0.110915,nan,nan,12308.8,852.913,10.2,0.4,0,5,0,0,0
12,24,2,0.01,50,32,0.5,0,1.70597,0.0438884,0.782386,0.105899,inf,nan,44162.4,4058.74,111.4,19.2312,0,5,0,0,0
12,24,3,0.001,100,32,0.5,0,1.74412,0.0446436,0.720628,0.094698,nan,nan,73395.4,6770.53,88.2,8.15843,0,5,0,0,0
12,32,0.5,0.01,20,32,0.375,0,1.68688,0.060399,0.523918,0.0788438,nan,nan,20000.2,1368.77,111.4,13.0323,0,5,0,0,0
