Architecture,Dropout,HasResidual,ProtectionLevel,Environment,BaselineAccuracy,RadiationAccuracy,AccuracyPreservation,ExecutionTime,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,BaselineAccuracyStdDev,RadiationAccuracyStdDev,AccuracyPreservationStdDev,MonteCarloTrials
2-32-2,0.3,No,SpaceOptimized,1,83.91,82.80,98.68,177.34,3,2,1,0.09,0.70,0.80,3
2-32-2,0.50,No,AdaptiveTMR,1,81.97,80.66,98.40,216.74,3,2,1,0.71,0.11,0.77,3
2-32-2,0.50,No,SpaceOptimized,1,82.19,82.18,99.99,177.34,3,2,1,0.84,0.83,0.02,3
2-32-32-128-2,0.40,Yes,None,1,86.38,77.85,90.12,136.02,1,0,1,0.48,1.14,0.82,3
2-32-64-2,0.30,Yes,SpaceOptimized,1,86.56,84.79,97.96,228.86,6,5,1,0.23,0.18,0.07,3
2-32-64-2,0.60,Yes,SpaceOptimized,1,83.73,82.63,98.69,228.86,6,5,1,0.37,0.47,0.32,3
2-64-2,0.30,No,SpaceOptimized,1,84.73,83.68,98.76,189.81,4,3,1,0.19,0.65,0.80,3
2-64-32-2,0.60,No,None,1,81.43,73.17,89.86,127.14,1,0,1,0.88,0.77,0.49,3
2-64-64-32-2,0.40,No,FullTMR,1,83.73,82.56,98.61,412.62,6,4,2,0.18,0.34,0.41,3
2-64-64-128-2,0.40,No,FullTMR,1,84.33,82.80,98.19,433.41,7,5,2,0.83,1.40,0.76,3
2-64-64-128-2,0.40,Yes,SpaceOptimized,1,85.79,84.97,99.04,260.05,8,7,1,0.66,0.78,0.60,3
2-64-256-2,0.60,No,None,1,82.73,73.69,89.08,147.42,1,0,1,0.21,0.18,0.16,3
2-128-2,0.30,No,SpaceOptimized,1,84.36,83.23,98.66,202.29,5,4,1,0.66,0.76,0.78,3
2-128-2,0.30,Yes,SpaceOptimized,1,83.89,83.25,99.24,202.29,5,4,1,0.25,0.29,0.64,3
2-128-2,0.40,No,SelectiveTMR,1,83.54,80.27,96.09,168.57,4,2,2,0.47,0.64,0.31,3
2-128-2,0.40,No,AdaptiveTMR,1,83.54,82.07,98.24,247.24,5,4,1,0.46,0.33,0.59,3
2-128-2,0.40,No,SpaceOptimized,1,83.30,82.52,99.07,202.29,5,4,1,0.70,0.46,0.30,3
2-128-2,0.40,Yes,SpaceOptimized,1,82.75,81.80,98.84,202.29,5,4,1,0.19,0.24,0.11,3
2-128-2,0.50,No,SpaceOptimized,1,82.43,82.00,99.48,202.29,5,4,1,0.57,0.95,0.47,3
2-128-2,0.50,Yes,AdaptiveTMR,1,82.85,81.06,97.83,247.24,5,4,1,0.04,0.16,0.24,3
2-128-2,0.50,Yes,SpaceOptimized,1,82.29,81.88,99.50,202.29,5,4,1,0.44,1.01,0.70,3
2-128-2,0.60,No,AdaptiveTMR,1,81.63,80.79,98.98,247.24,5,4,1,0.54,0.40,0.23,3
2-128-128-64-2,0.30,No,SelectiveTMR,1,84.60,81.43,96.25,226.88,6,3,3,0.38,0.82,0.55,3
2-128-128-64-2,0.40,No,SelectiveTMR,1,83.89,81.00,96.55,226.88,6,3,3,0.43,0.73,0.40,3
2-128-128-64-2,0.60,Yes,FullTMR,1,83.27,81.71,98.12,453.75,8,6,2,0.04,0.29,0.30,3
2-256-2,0.50,Yes,SpaceOptimized,1,82.10,81.19,98.90,214.77,5,4,1,0.54,0.45,0.81,3
2-256-32-64-2,0.40,Yes,SelectiveTMR,1,86.68,83.12,95.89,214.42,6,3,3,0.22,0.47,0.49,3
2-256-32-128-2,0.40,Yes,FullTMR,1,85.95,83.78,97.47,434.31,7,5,2,0.46,0.56,0.42,3
2-256-32-128-2,0.40,Yes,AdaptiveTMR,1,86.13,84.63,98.26,318.49,7,5,2,0.70,1.10,0.50,3
2-256-32-128-2,0.50,Yes,AdaptiveTMR,1,84.72,83.84,98.96,318.49,7,5,2,0.43,0.90,0.56,3
2-256-32-128-2,0.50,Yes,SpaceOptimized,1,85.06,84.00,98.75,260.59,8,7,1,0.37,0.40,0.48,3
2-256-32-128-2,0.60,Yes,AdaptiveTMR,1,83.56,82.77,99.05,318.49,7,5,2,0.57,0.88,0.54,3
2-256-32-256-2,0.60,Yes,None,1,83.97,75.84,90.31,147.65,1,0,1,0.49,1.06,0.73,3
2-256-32-256-2,0.60,Yes,SelectiveTMR,1,84.43,81.81,96.90,221.47,6,3,3,0.40,0.26,0.22,3
2-256-256-32-2,0.50,No,SelectiveTMR,1,83.42,79.38,95.16,243.24,7,4,3,0.59,0.77,0.43,3
2-256-256-128-2,0.50,Yes,SelectiveTMR,1,85.59,82.11,95.93,247.55,7,4,3,0.34,0.31,0.12,3
