input_dim,latent_dim,beta,learning_rate,epochs,batch_size,compression_ratio_mean,compression_ratio_std,reconstruction_error_mean,reconstruction_error_std,kl_divergence_mean,kl_divergence_std,total_loss_mean,total_loss_std,training_time_mean,training_time_std,inference_time_mean,inference_time_std,convergence_rate,monte_carlo_trials,compression_score,anomaly_score,balanced_score
12,2,1.5,0.001,100,32,6,0,1.72161,0.0160443,0.308716,0.159635,1.93463,0.218041,4854.6,889.972,4.6,0.489898,0,5,0,0,0
12,4,0.5,0.0001,50,32,3,0,1.73666,0.034115,1.47476,0.808584,2.30542,0.358207,681.8,7.24983,1,0,0,5,0,0,0
12,4,2,0.01,50,32,3,0,1.76282,0.0587919,0.877154,0.352586,3.24594,0.637706,1866.8,262.667,2.8,0.979796,0,5,0,0,0
12,8,3,0.0001,100,32,1.5,0,1.74426,0.0239295,0.533164,0.113122,3.15975,0.380376,18602,1725.66,21.2,3.70945,0,5,0,0,0
12,12,1,0.0001,20,32,1,0,1.82935,0.0185952,2.55864,0.636181,4.17502,0.678251,423.2,5.81034,1.2,0.4,0,5,0,0,0
12,12,0.5,0.001,100,32,1,0,1.73052,0.0487308,1.17384,0.12467,2.10042,0.0715251,7890.6,1077.81,7,1.26491,0,5,0,0,0
12,16,0.1,0.01,100,32,0.75,0,1.71205,0.0219712,0.329728,0.156164,inf,nan,24981.2,3188.93,27.4,4.8,0,5,0,0,0
12,24,3,0.0001,20,32,0.5,0,1.75344,0.0880493,3.45945,0.545461,nan,nan,642.8,7.11056,2.2,0.4,0,5,0,0,0
12,24,3,0.01,100,32,0.5,0,1.80271,0.05471,2.08599,0.110915,nan,nan,12308.8,852.913,10.2,0.4,0,5,0,0,0
12,24,2,0.01,50,32,0.5,0,1.70597,0.0438884,0.782386,0.105899,inf,nan,44162.4,4058.74,111.4,19.2312,0,5,0,0,0
