input_dim,latent_dim,beta,learning_rate,epochs,batch_size,compression_ratio_mean,compression_ratio_std,reconstruction_error_mean,reconstruction_error_std,kl_divergence_mean,kl_divergence_std,total_loss_mean,total_loss_std,training_time_mean,training_time_std,inference_time_mean,inference_time_std,convergence_rate,monte_carlo_trials,compression_score,anomaly_score,balanced_score
12,3,0.5,0.001,50,32,4,0,1.71478,0.0980443,1.15887,0.303183,2.18777,0.238049,897,52.9906,2.2,0.979796,0,5,0,0,0
12,3,0.5,0.01,50,32,4,0,1.67457,0.0647091,1.0983,0.405859,2.24083,0.259798,868.4,28.5139,1.4,0.489898,0,5,0,0,0
12,3,1,0.001,50,32,4,0,1.70403,0.0290896,1.21492,0.405457,2.86039,0.417427,871,17.5841,1,0,0,5,0,0,0
12,3,1,0.01,50,32,4,0,1.68948,0.08183,1.17444,0.339509,2.76112,0.232053,939.8,67.6739,1.2,0.4,0,5,0,0,0
12,3,0.5,0.001,50,32,4,0,1.63994,0.0133847,0.329953,0.0896018,1.7124,0.0514326,2811.8,92.7888,6.2,0.4,0,5,0,0,0
12,3,0.5,0.01,50,32,4,0,1.68121,0.0313511,0.493595,0.259004,1.83411,0.130358,3540.6,849.542,10.2,6.01332,0,5,0,0,0
12,3,1,0.001,50,32,4,0,1.64027,0.033299,0.530165,0.241643,2.10607,0.259929,3086.8,370.375,6.2,0.4,0,5,0,0,0
12,3,1,0.01,50,32,4,0,1.6473,0.0178718,0.494661,0.210231,2.04757,0.22148,4327.8,1252.73,8,2.09762,0,5,0,0,0
12,3,0.5,0.001,50,32,4,0,1.64135,0.014983,0.286301,0.133046,1.70233,0.095557,9873,1242.31,22.6,1.35647,0,5,0,0,0
12,3,0.5,0.01,50,32,4,0,1.64837,0.0143846,0.206628,0.0886003,1.64781,0.0558508,9480.2,629.662,55.2,65.9072,0,5,0,0,0
12,3,1,0.001,50,32,4,0,1.65028,0.0134382,0.190938,0.0387196,1.73215,0.0454382,10486.4,2682,25.4,4.45421,0,5,0,0,0
12,3,1,0.01,50,32,4,0,1.65133,0.0128104,0.207952,0.0696184,1.76323,0.0927084,9005.6,229.154,23,2,0,5,0,0,0
12,4,0.5,0.001,50,32,3,0,1.69102,0.0503704,1.35527,0.157182,2.37075,0.156332,895.4,20.6165,1,0,0,5,0,0,0
12,4,0.5,0.01,50,32,3,0,1.74382,0.030341,1.15316,0.230552,2.24539,0.121204,895,20.6591,1.2,0.4,0,5,0,0,0
12,4,1,0.001,50,32,3,0,1.69473,0.06195,1.49354,0.490366,3.19631,0.601331,911.8,27.9313,1,0,0,5,0,0,0
12,4,1,0.01,50,32,3,0,1.71394,0.0422325,1.68046,0.582007,3.19714,0.485442,1027.4,114.538,1.4,0.8,0,5,0,0,0
12,4,0.5,0.001,50,32,3,0,1.62017,0.0238841,0.523736,0.312068,1.79349,0.169435,3335.2,849.028,6.4,0.489898,0,5,0,0,0
12,4,0.5,0.01,50,32,3,0,1.66221,0.0323996,0.457461,0.186788,1.82168,0.118482,4460.8,723.257,8.6,2.8,0,5,0,0,0
12,4,1,0.001,50,32,3,0,1.65966,0.022962,0.543391,0.165641,2.09887,0.180445,2925.6,65.4144,7,1.09545,0,5,0,0,0
12,4,1,0.01,50,32,3,0,1.69274,0.0409233,0.439091,0.164962,2.00124,0.178224,3179.8,351.891,6.4,0.489898,0,5,0,0,0
12,4,0.5,0.001,50,32,3,0,1.65172,0.0379195,0.332229,0.171469,1.72545,0.0765464,10653.6,1000.12,25.4,3.72022,0,5,0,0,0
12,4,0.5,0.01,50,32,3,0,1.67637,0.0364392,0.463206,0.274704,1.79746,0.101007,10674.2,1978.75,22.4,0.8,0,5,0,0,0
12,4,1,0.001,50,32,3,0,1.65481,0.019411,0.291431,0.0470004,1.81947,0.0690784,10324,377.405,25.2,5.41849,0,5,0,0,0
12,4,1,0.01,50,32,3,0,1.66097,0.0271514,0.310654,0.0687388,1.86929,0.083495,10681.8,844.332,27.2,3.70945,0,5,0,0,0
12,6,0.5,0.001,50,32,2,0,1.705,0.0620034,1.69607,0.325107,2.53241,0.202375,1056.8,21.0941,1.2,0.4,0,5,0,0,0
12,6,0.5,0.01,50,32,2,0,1.69469,0.0694599,1.83372,0.517501,2.48861,0.281907,1108.6,103.76,1.8,0.748331,0,5,0,0,0
12,6,1,0.001,50,32,2,0,1.76447,0.0510938,1.7081,0.54969,3.25455,0.414605,1229.8,144.818,1.4,0.489898,0,5,0,0,0
12,6,1,0.01,50,32,2,0,1.72494,0.0800286,1.79208,0.253972,3.48192,0.315887,1057,72.025,1.2,0.4,0,5,0,0,0
12,6,0.5,0.001,50,32,2,0,1.65524,0.0399689,0.753676,0.313908,1.91613,0.191147,3548.6,320.603,7.2,1.46969,0,5,0,0,0
12,6,0.5,0.01,50,32,2,0,1.68703,0.0316,0.785065,0.227652,1.94791,0.118165,3970.6,827.596,6.8,0.4,0,5,0,0,0
