Architecture,Dropout,HasResidual,ProtectionLevel,Environment,BaselineAccuracy,RadiationAccuracy,AccuracyPreservation,ExecutionTime,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,BaselineAccuracyStdDev,RadiationAccuracyStdDev,AccuracyPreservationStdDev,MonteCarloTrials
2-32-2,0.3,No,SpaceOptimized,1,84.07,83.33,99.12,177.34,3,2,1,0.50,0.83,0.70,50
2-32-2,0.30,Yes,SelectiveTMR,1,83.98,80.79,96.21,147.78,2,1,1,0.55,0.93,0.74,50
2-32-2,0.30,Yes,AdaptiveTMR,1,83.94,82.60,98.39,216.74,3,2,1,0.55,0.79,0.66,50
2-32-2,0.30,Yes,SpaceOptimized,1,83.88,83.00,98.95,177.34,3,2,1,0.59,0.92,0.72,50
2-32-2,0.50,No,SpaceOptimized,1,81.90,81.05,98.96,177.34,3,2,1,0.60,0.87,0.73,50
2-32-2,0.60,No,FullTMR,1,81.07,79.31,97.84,295.56,3,2,1,0.60,0.80,0.67,50
2-32-2,0.60,No,SpaceOptimized,1,80.90,80.07,98.98,177.34,3,2,1,0.53,0.76,0.66,50
2-32-2,0.60,Yes,None,1,80.84,72.80,90.05,98.52,0,0,0,0.65,0.83,0.74,50
2-32-2,0.60,Yes,ChecksumOnly,1,80.86,74.40,92.01,108.37,1,0,1,0.60,0.78,0.75,50
2-32-2,0.60,Yes,FullTMR,1,80.85,79.18,97.93,295.56,3,2,1,0.52,0.75,0.77,50
2-32-2,0.60,Yes,AdaptiveTMR,1,80.96,79.63,98.36,216.74,3,2,1,0.58,0.82,0.78,50
2-32-2,0.60,Yes,SpaceOptimized,1,80.99,80.15,98.97,177.34,3,2,1,0.58,0.71,0.70,50
2-32-256-2,0.30,No,AdaptiveTMR,1,85.00,83.64,98.40,309.74,7,5,2,0.63,0.75,0.71,50
2-32-256-2,0.30,No,SpaceOptimized,1,84.95,84.17,99.08,253.42,8,7,1,0.55,0.75,0.61,50
2-32-256-2,0.30,Yes,SpaceOptimized,1,87.05,86.20,99.02,253.42,8,7,1,0.60,0.71,0.61,50
2-32-256-2,0.40,Yes,FullTMR,1,85.94,84.36,98.16,422.37,7,5,2,0.61,0.91,0.68,50
2-32-256-2,0.60,Yes,AdaptiveTMR,1,84.01,82.83,98.59,309.74,7,5,2,0.61,0.83,0.77,50
2-32-256-32-2,0.30,No,SpaceOptimized,1,85.03,84.19,99.01,264.81,8,7,1,0.61,0.95,0.75,50
2-64-2,0.30,No,FullTMR,1,84.09,82.35,97.94,316.36,4,3,1,0.59,0.76,0.69,50
2-64-2,0.30,Yes,FullTMR,1,84.12,82.41,97.98,316.36,4,3,1,0.58,0.73,0.72,50
2-64-2,0.50,No,ChecksumOnly,1,82.15,75.56,91.97,116.00,1,0,1,0.55,0.81,0.67,50
2-64-2,0.50,No,SpaceOptimized,1,82.16,81.45,99.14,189.81,4,3,1,0.61,0.83,0.64,50
2-64-2,0.50,Yes,SpaceOptimized,1,82.08,81.21,98.94,189.81,4,3,1,0.67,0.91,0.62,50
2-64-2,0.60,Yes,SpaceOptimized,1,81.11,80.31,99.01,189.81,4,3,1,0.53,0.75,0.74,50
2-64-32-256-2,0.60,Yes,ChecksumOnly,1,84.02,77.18,91.86,157.24,3,0,3,0.55,0.72,0.65,50
2-64-64-32-2,0.30,Yes,SpaceOptimized,1,86.93,86.12,99.06,247.57,7,6,1,0.54,0.64,0.61,50
2-64-64-32-2,0.60,Yes,SpaceOptimized,1,83.83,83.07,99.10,247.57,7,6,1,0.54,0.65,0.64,50
2-64-64-256-2,0.50,Yes,None,1,85.23,76.71,90.01,149.58,1,0,1,0.58,0.78,0.73,50
2-64-64-256-2,0.50,Yes,SpaceOptimized,1,85.21,84.45,99.10,269.24,8,7,1,0.57,0.94,0.72,50
2-64-128-128-2,0.50,Yes,AdaptiveTMR,1,85.12,83.86,98.51,332.75,8,6,2,0.63,0.83,0.66,50
2-64-128-256-2,0.30,Yes,AdaptiveTMR,1,87.08,85.82,98.55,343.99,8,6,2,0.61,0.92,0.67,50
2-64-128-256-2,0.30,Yes,SpaceOptimized,1,87.34,86.55,99.10,281.45,9,8,1,0.53,0.75,0.65,50
2-64-256-2,0.40,No,ChecksumOnly,1,84.28,77.59,92.07,162.17,3,0,3,0.59,0.69,0.64,50
2-64-256-32-2,0.30,No,SpaceOptimized,1,85.20,84.31,98.95,272.11,9,8,1,0.64,0.73,0.65,50
2-64-256-32-2,0.30,Yes,ChecksumOnly,1,87.22,80.33,92.10,166.29,3,0,3,0.59,0.70,0.69,50
2-64-256-32-2,0.30,Yes,SelectiveTMR,1,87.22,83.72,95.99,226.76,6,3,3,0.55,0.76,0.62,50
2-64-256-32-2,0.30,Yes,SpaceOptimized,1,87.19,86.47,99.17,272.11,9,8,1,0.55,0.74,0.66,50
2-64-256-32-2,0.40,No,SpaceOptimized,1,84.08,83.31,99.08,272.11,9,8,1,0.53,0.79,0.69,50
2-64-256-32-2,0.40,Yes,FullTMR,1,86.23,84.57,98.07,453.52,8,6,2,0.52,0.74,0.62,50
2-64-256-32-2,0.40,Yes,SpaceOptimized,1,86.31,85.45,99.01,272.11,9,8,1,0.53,0.80,0.66,50
2-64-256-32-2,0.50,Yes,SpaceOptimized,1,85.19,84.29,98.94,272.11,9,8,1,0.62,0.85,0.73,50
2-64-256-32-2,0.60,Yes,FullTMR,1,84.23,82.44,97.88,453.52,8,6,2,0.60,0.93,0.72,50
2-64-256-32-2,0.60,Yes,SpaceOptimized,1,84.25,83.41,99.01,272.11,9,8,1,0.58,0.84,0.68,50
2-64-256-64-2,0.30,Yes,SpaceOptimized,1,87.14,86.27,98.99,277.29,9,8,1,0.57,0.82,0.63,50
2-64-256-128-2,0.30,Yes,SpaceOptimized,1,87.34,86.39,98.90,284.59,9,8,1,0.56,0.77,0.66,50
2-64-256-128-2,0.40,Yes,None,1,86.29,77.64,89.97,158.10,2,0,2,0.57,0.81,0.67,50
2-64-256-256-2,0.30,No,None,1,85.47,76.90,89.98,163.21,2,0,2,0.59,0.71,0.65,50
2-64-256-256-2,0.30,No,SpaceOptimized,1,85.34,84.52,99.04,293.78,10,9,1,0.56,0.85,0.68,50
2-64-256-256-2,0.30,Yes,None,1,87.34,78.62,90.02,163.21,2,0,2,0.50,0.72,0.58,50
2-64-256-256-2,0.30,Yes,ChecksumOnly,1,87.42,80.54,92.13,179.53,3,0,3,0.49,0.71,0.64,50
2-64-256-256-2,0.30,Yes,SelectiveTMR,1,87.35,83.68,95.79,244.82,7,4,3,0.59,0.85,0.67,50
2-64-256-256-2,0.30,Yes,FullTMR,1,87.36,85.69,98.09,489.64,9,7,2,0.59,0.77,0.67,50
2-64-256-256-2,0.30,Yes,AdaptiveTMR,1,87.50,86.30,98.62,359.07,9,7,2,0.56,0.88,0.71,50
2-64-256-256-2,0.30,Yes,SpaceOptimized,1,87.32,86.59,99.16,293.78,10,9,1,0.60,0.85,0.64,50
2-64-256-256-2,0.40,No,None,1,84.37,76.01,90.09,163.21,2,0,2,0.60,0.76,0.63,50
2-64-256-256-2,0.40,No,SelectiveTMR,1,84.32,80.90,95.95,244.82,7,4,3,0.57,0.80,0.62,50
2-64-256-256-2,0.40,No,SpaceOptimized,1,84.51,83.71,99.06,293.78,10,9,1,0.52,0.76,0.63,50
2-64-256-256-2,0.40,Yes,None,1,86.51,78.03,90.21,163.21,2,0,2,0.56,0.77,0.72,50
2-64-256-256-2,0.40,Yes,FullTMR,1,86.31,84.70,98.14,489.64,9,7,2,0.49,0.69,0.62,50
