Method,Overhead,Error Rate,Success Rate,CI Lower,CI Upper,Threshold
No Protection,0.0,0.0004999999999999999,0.99,0.9704982462327102,1,0.026222604954408316
No Protection,0.0,0.0008340502686000295,0.97,0.9365649046659053,1,
No Protection,0.0,0.0013912797011035628,0.95,0.9072827903533014,0.9927172096466985,
No Protection,0.0,0.002320794416806388,0.91,0.8539083749566836,0.9660916250433165,
No Protection,0.0,0.0038713184134056343,0.9,0.8412000000000001,0.9588,
No Protection,0.0,0.006457748325074419,0.86,0.7919905418342419,0.9280094581657581,
No Protection,0.0,0.010772173450159416,0.77,0.6875168283829969,0.8524831716170032,
No Protection,0.0,0.017969068319023125,0.61,0.5144010125576636,0.7055989874423364,
No Protection,0.0,0.02997421251594704,0.45,0.35249123116355124,0.5475087688364488,
No Protection,0.0,0.049999999999999996,0.22,0.13880772450534473,0.30119227549465527,
Hamming Code,0.3125,0.0004999999999999999,1.0,1.0,1,0.049284793304140956
Hamming Code,0.3125,0.0008340502686000295,1.0,1.0,1,
Hamming Code,0.3125,0.0013912797011035628,1.0,1.0,1,
Hamming Code,0.3125,0.002320794416806388,1.0,1.0,1,
Hamming Code,0.3125,0.0038713184134056343,0.98,0.95256,1,
Hamming Code,0.3125,0.006457748325074419,0.99,0.9704982462327102,1,
Hamming Code,0.3125,0.010772173450159416,0.95,0.9072827903533014,0.9927172096466985,
Hamming Code,0.3125,0.017969068319023125,0.88,0.8163075389076541,0.943692461092346,
Hamming Code,0.3125,0.02997421251594704,0.77,0.6875168283829969,0.8524831716170032,
Hamming Code,0.3125,0.049999999999999996,0.49,0.3920196019603921,0.5879803980396079,
SEC-DED,0.375,0.0004999999999999999,0.98,0.95256,1,0.03140462590766511
SEC-DED,0.375,0.0008340502686000295,0.99,0.9704982462327102,1,
SEC-DED,0.375,0.0013912797011035628,0.97,0.9365649046659053,1,
SEC-DED,0.375,0.002320794416806388,0.97,0.9365649046659053,1,
SEC-DED,0.375,0.0038713184134056343,0.92,0.8668265329322979,0.9731734670677021,
SEC-DED,0.375,0.006457748325074419,0.9,0.8412000000000001,0.9588,
SEC-DED,0.375,0.010772173450159416,0.86,0.7919905418342419,0.9280094581657581,
SEC-DED,0.375,0.017969068319023125,0.67,0.5778383073072114,0.7621616926927887,
SEC-DED,0.375,0.02997421251594704,0.52,0.42207843138511314,0.6179215686148869,
SEC-DED,0.375,0.049999999999999996,0.24,0.1562917065040745,0.32370829349592545,
Triple Modular Redundancy (TMR),2.0,0.0004999999999999999,1.0,1.0,1,0.02261622091138077
Triple Modular Redundancy (TMR),2.0,0.0008340502686000295,1.0,1.0,1,
Triple Modular Redundancy (TMR),2.0,0.0013912797011035628,1.0,1.0,1,
Triple Modular Redundancy (TMR),2.0,0.002320794416806388,0.99,0.9704982462327102,1,
Triple Modular Redundancy (TMR),2.0,0.0038713184134056343,1.0,1.0,1,
Triple Modular Redundancy (TMR),2.0,0.006457748325074419,0.91,0.8539083749566836,0.9660916250433165,
Triple Modular Redundancy (TMR),2.0,0.010772173450159416,0.76,0.6762917065040746,0.8437082934959255,
Triple Modular Redundancy (TMR),2.0,0.017969068319023125,0.62,0.5248642569798291,0.7151357430201709,
Triple Modular Redundancy (TMR),2.0,0.02997421251594704,0.31,0.21935132433399812,0.4006486756660019,
Triple Modular Redundancy (TMR),2.0,0.049999999999999996,0.09,0.03390837495668359,0.1460916250433164,
Reed-Solomon (RS4),1.0,0.0004999999999999999,0.97,0.9365649046659053,1,0.007046079023949646
Reed-Solomon (RS4),1.0,0.0008340502686000295,0.94,0.8934525790188113,0.9865474209811886,
Reed-Solomon (RS4),1.0,0.0013912797011035628,0.88,0.8163075389076541,0.943692461092346,
Reed-Solomon (RS4),1.0,0.002320794416806388,0.72,0.6319962182630768,0.8080037817369231,
Reed-Solomon (RS4),1.0,0.0038713184134056343,0.73,0.6429839463087413,0.8170160536912586,
Reed-Solomon (RS4),1.0,0.006457748325074419,0.53,0.4321765590464126,0.6278234409535874,
Reed-Solomon (RS4),1.0,0.010772173450159416,0.31,0.21935132433399812,0.4006486756660019,
Reed-Solomon (RS4),1.0,0.017969068319023125,0.29,0.20106263777241873,0.37893736222758123,
Reed-Solomon (RS4),1.0,0.02997421251594704,0.02,0,0.047439999999999996,
